img_path,stratum,cell_id,y,x0,x1,y0,y1
./images/beogradska.jpeg,1,beogradska_r21_c07,57.0,135,156,730,765
./images/beogradska.jpeg,1,beogradska_r23_c19,71.0,403,425,803,838
./images/beogradska.jpeg,1,beogradska_r33_c03,83.0,45,67,1168,1203
./images/beogradska.jpeg,1,beogradska_r24_c20,79.0,426,447,839,875
./images/beogradska.jpeg,1,beogradska_r32_c03,76.0,45,67,1131,1167
./images/beogradska.jpeg,1,beogradska_r30_c03,70.0,45,67,1058,1094
./images/beogradska.jpeg,1,beogradska_r39_c20,55.0,426,447,1387,1422
./images/beogradska.jpeg,1,beogradska_r30_c11,78.0,224,246,1058,1094
./images/beogradska.jpeg,1,beogradska_r20_c27,65.0,582,604,694,729
./images/beogradska.jpeg,1,beogradska_r18_c29,75.0,627,648,621,656
./images/beogradska.jpeg,1,beogradska_r24_c17,73.0,359,380,839,875
./images/beogradska.jpeg,1,beogradska_r27_c17,78.0,359,380,949,984
./images/beogradska.jpeg,1,beogradska_r26_c15,65.0,314,335,912,948
./images/beogradska.jpeg,1,beogradska_r34_c16,74.0,336,358,1204,1240
./images/beogradska.jpeg,1,beogradska_r28_c21,72.0,448,469,985,1021
./images/beogradska.jpeg,2,beogradska_r15_c29,69.0,627,648,511,547
./images/beogradska.jpeg,2,beogradska_r37_c19,69.0,403,425,1314,1349
./images/beogradska.jpeg,2,beogradska_r32_c04,74.0,68,89,1131,1167
./images/beogradska.jpeg,2,beogradska_r31_c13,64.0,269,290,1095,1130
./images/beogradska.jpeg,2,beogradska_r34_c07,77.0,135,156,1204,1240
./images/beogradska.jpeg,2,beogradska_r21_c06,61.0,112,134,730,765
./images/beogradska.jpeg,2,beogradska_r29_c07,78.0,135,156,1022,1057
./images/beogradska.jpeg,2,beogradska_r17_c31,64.0,672,693,584,620
./images/beogradska.jpeg,2,beogradska_r38_c07,77.0,135,156,1350,1386
./images/beogradska.jpeg,2,beogradska_r31_c10,65.0,202,223,1095,1130
./images/beogradska.jpeg,2,beogradska_r08_c37,58.0,806,827,256,291
./images/beogradska.jpeg,2,beogradska_r40_c16,69.0,336,358,1423,1459
./images/beogradska.jpeg,2,beogradska_r38_c03,55.0,45,67,1350,1386
./images/beogradska.jpeg,2,beogradska_r29_c14,72.0,291,313,1022,1057
./images/beogradska.jpeg,2,beogradska_r30_c22,59.0,470,492,1058,1094
./images/beogradska.jpeg,3,beogradska_r07_c38,42.0,828,850,219,255
./images/beogradska.jpeg,3,beogradska_r19_c05,49.0,90,111,657,693
./images/beogradska.jpeg,3,beogradska_r17_c26,48.0,560,581,584,620
./images/beogradska.jpeg,3,beogradska_r16_c19,65.0,403,425,548,583
./images/beogradska.jpeg,3,beogradska_r30_c23,40.0,493,514,1058,1094
./images/beogradska.jpeg,3,beogradska_r17_c27,57.0,582,604,584,620
./images/beogradska.jpeg,3,beogradska_r27_c08,58.0,157,179,949,984
./images/beogradska.jpeg,3,beogradska_r28_c08,48.0,157,179,985,1021
./images/beogradska.jpeg,3,beogradska_r40_c39,42.0,851,872,1423,1459
./images/beogradska.jpeg,3,beogradska_r26_c25,41.0,538,559,912,948
./images/beogradska.jpeg,3,beogradska_r17_c18,26.0,381,402,584,620
./images/beogradska.jpeg,3,beogradska_r19_c35,43.0,761,783,657,693
./images/beogradska.jpeg,3,beogradska_r39_c39,46.0,851,872,1387,1422
./images/beogradska.jpeg,3,beogradska_r28_c02,29.0,23,44,985,1021
./images/beogradska.jpeg,3,beogradska_r23_c01,57.0,1,22,803,838
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r25_c19,35.0,225,236,692,720
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r38_c20,37.0,237,249,1067,1095
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r10_c23,30.0,274,286,260,288
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r35_c22,28.0,262,273,981,1008
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r26_c15,24.0,175,186,721,749
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r40_c17,26.0,200,211,1125,1153
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r40_c16,33.0,187,199,1125,1153
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r35_c21,25.0,250,261,981,1008
./images/bulevar-oslobodjenja.jpeg,1,bulevar-oslobodjenja_r32_c22,31.0,262,273,894,922
